Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-123.1629 49.02046),"49.02","-123.163",Canada,0.047,"3"
POINT(-120.3536 50.66382),"50.664","-120.354",Canada,0.083,"15"
POINT(-122.98319 49.20138),"49.201","-122.983",Canada,0.008,"3"
POINT(-122.66831 49.13445),"49.134","-122.668",Canada,0.016,"3"
POINT(-122.83902 49.27674),"49.277","-122.839",Canada,0.007,"3"
POINT(-122.90196 49.20993),"49.21","-122.902",Canada,0.044,"3"
POINT(-122.96542 49.24456),"49.245","-122.965",Canada,0.145,"46"
POINT(-123.15347 49.02682),"49.027","-123.153",Canada,0.026,"8"
POINT(-123.02286 49.14007),"49.14","-123.023",Canada,0.204,"15"
POINT(-122.91472 49.22591),"49.226","-122.915",Canada,0.036,"5"
POINT(-122.66815 49.15096),"49.151","-122.668",Canada,0.032,"14"
POINT(-122.99581 49.14215),"49.142","-122.996",Canada,0.371,"17"
POINT(-123.16425 49.02163),"49.022","-123.164",Canada,0.045,"8"
POINT(-122.59055 49.17291),"49.173","-122.591",Canada,0.034,"3"
POINT(-123.09721 49.26029),"49.26","-123.097",Canada,0.025,"4"
POINT(-122.91326 49.22205),"49.222","-122.913",Canada,0.01,"3"
POINT(-122.9309 49.21676),"49.217","-122.931",Canada,0.017,"11"
POINT(-122.66868 49.12315),"49.123","-122.669",Canada,0.016,"8"
POINT(-122.7673 49.06027),"49.06","-122.767",Canada,0.09,"5"
POINT(-122.90885 49.1836),"49.184","-122.909",Canada,0.049,"12"
POINT(-123.04066 49.15351),"49.154","-123.041",Canada,0.193,"104"
POINT(-122.93178 49.21669),"49.217","-122.932",Canada,0.021,"15"
POINT(-122.66869 49.10844),"49.108","-122.669",Canada,0.037,"5"
POINT(-122.89503 49.19717),"49.197","-122.895",Canada,0.032,"3"
POINT(-122.67111 49.17705),"49.177","-122.671",Canada,0.032,"5"
POINT(-122.67389 49.17714),"49.177","-122.674",Canada,0.014,"3"
POINT(-123.16027 49.02291),"49.023","-123.16",Canada,0.032,"11"
POINT(-122.66844 49.12229),"49.122","-122.668",Canada,0.011,"3"
POINT(-122.66796 49.15588),"49.156","-122.668",Canada,0.078,"11"
POINT(-123.12593 49.20608),"49.206","-123.126",Canada,0.02,"3"
POINT(-121.43825 49.43064),"49.431","-121.438",Canada,0.367,"6"
POINT(-123.01175 49.23303),"49.233","-123.012",Canada,0.097,"16"
POINT(-123.15877 49.16219),"49.162","-123.159",Canada,0.024,"3"
POINT(-122.89252 49.24845),"49.248","-122.893",Canada,0.028,"5"
POINT(-123.02566 49.13708),"49.137","-123.026",Canada,0.026,"7"
POINT(-122.73562 49.19133),"49.191","-122.736",Canada,0.005,"3"
POINT(-122.92773 49.21906),"49.219","-122.928",Canada,0.049,"13"
POINT(-122.65116 49.14807),"49.148","-122.651",Canada,0.098,"3"
POINT(-122.66857 49.11916),"49.119","-122.669",Canada,0.019,"3"
POINT(-123.09003 49.27666),"49.277","-123.09",Canada,0.09,"6"
POINT(-123.16173 49.02188),"49.022","-123.162",Canada,0.286,"38"
POINT(-123.15085 49.03003),"49.03","-123.151",Canada,0.02,"4"
POINT(-122.90745 49.18518),"49.185","-122.907",Canada,0.142,"25"
POINT(-123.00344 49.23004),"49.23","-123.003",Canada,0.011,"3"
POINT(-123.00097 49.19921),"49.199","-123.001",Canada,0.173,"6"
POINT(-123.01206 49.28094),"49.281","-123.012",Canada,0.01,"3"
POINT(-120.35413 50.66378),"50.664","-120.354",Canada,0.062,"39"
POINT(-122.6587 49.21245),"49.212","-122.659",Canada,0.016,"3"
POINT(-123.16401 49.02266),"49.023","-123.164",Canada,0.217,"3"
POINT(-123.01198 49.20026),"49.2","-123.012",Canada,0.055,"3"
POINT(-122.66862 49.11532),"49.115","-122.669",Canada,0.006,"3"
POINT(-122.66998 49.20851),"49.209","-122.67",Canada,0.006,"4"
POINT(-122.89274 49.22628),"49.226","-122.893",Canada,0.018,"3"
POINT(-122.66829 49.17129),"49.171","-122.668",Canada,0.026,"7"
POINT(-122.88292 49.2672),"49.267","-122.883",Canada,0.039,"3"
POINT(-122.89272 49.23164),"49.232","-122.893",Canada,0.029,"14"
POINT(-122.89937 49.195),"49.195","-122.899",Canada,0.02,"3"
POINT(-122.98734 49.22525),"49.225","-122.987",Canada,0.005,"3"
POINT(-122.66865 49.11144),"49.111","-122.669",Canada,0.11,"11"
POINT(-123.1384 49.26651),"49.267","-123.138",Canada,0.022,"3"
POINT(-123.0657 49.25965),"49.26","-123.066",Canada,0.024,"3"
POINT(-122.9515 49.20576),"49.206","-122.951",Canada,0.01,"3"
POINT(-122.90749 49.22494),"49.225","-122.907",Canada,0.043,"6"
POINT(-122.77917 49.03095),"49.031","-122.779",Canada,0.045,"3"
POINT(-122.91036 49.18512),"49.185","-122.91",Canada,0.267,"24"
POINT(-122.67992 49.11386),"49.114","-122.68",Canada,0.024,"3"
POINT(-122.94479 49.15269),"49.153","-122.945",Canada,0.907,"29"
POINT(-123.18635 49.23192),"49.232","-123.186",Canada,0.189,"7"
POINT(-122.92925 49.1917),"49.192","-122.929",Canada,0.772,"16"
POINT(-122.75486 49.14704),"49.147","-122.755",Canada,0.167,"7"
POINT(-122.67818 49.11363),"49.114","-122.678",Canada,0.017,"3"
POINT(-122.94863 49.19019),"49.19","-122.949",Canada,0.013,"6"
POINT(-123.0912 49.31971),"49.32","-123.091",Canada,0.013,"5"
POINT(-123.15634 49.0174),"49.017","-123.156",Canada,0.135,"5"
POINT(-122.96102 49.21821),"49.218","-122.961",Canada,0.025,"4"
