Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-116.85517 32.48999),"32.49","-116.855",Mexico,0.077,"4"
POINT(-117.03267 32.44494),"32.445","-117.033",Mexico,0.049,"9"
POINT(-116.88576 32.49588),"32.496","-116.886",Mexico,0.025,"3"
POINT(-117.02312 32.52876),"32.529","-117.023",Mexico,0.08,"41"
POINT(-117.02516 32.53301),"32.533","-117.025",Mexico,0.009,"3"
POINT(-116.86262 32.50817),"32.508","-116.863",Mexico,0.111,"6"
POINT(-116.97334 32.51208),"32.512","-116.973",Mexico,0.057,"3"
POINT(-116.98454 32.51709),"32.517","-116.985",Mexico,0.04,"21"
POINT(-116.98723 32.51361),"32.514","-116.987",Mexico,0.068,"13"
POINT(-116.99522 32.50976),"32.51","-116.995",Mexico,0.022,"3"
POINT(-117.0454 32.48172),"32.482","-117.045",Mexico,0.033,"5"
POINT(-117.01892 32.51924),"32.519","-117.019",Mexico,0.025,"3"
POINT(-116.9731 32.50266),"32.503","-116.973",Mexico,0.045,"3"
POINT(-116.98324 32.51694),"32.517","-116.983",Mexico,0.017,"4"
POINT(-116.99551 32.48168),"32.482","-116.996",Mexico,0.069,"9"
POINT(-117.00375 32.51924),"32.519","-117.004",Mexico,0.064,"13"
POINT(-116.94638 32.49831),"32.498","-116.946",Mexico,0.045,"30"
POINT(-117.03573 32.52561),"32.526","-117.036",Mexico,0.169,"12"
POINT(-116.93618 32.53419),"32.534","-116.936",Mexico,0.046,"5"
POINT(-116.87637 32.44185),"32.442","-116.876",Mexico,0.315,"21"
POINT(-116.99378 32.45463),"32.455","-116.994",Mexico,0.031,"5"
POINT(-116.90098 32.49917),"32.499","-116.901",Mexico,0.012,"4"
POINT(-116.96621 32.51061),"32.511","-116.966",Mexico,0.011,"3"
POINT(-116.98636 32.52047),"32.52","-116.986",Mexico,0.075,"13"
POINT(-117.00785 32.52416),"32.524","-117.008",Mexico,0.005,"3"
POINT(-117.01055 32.52535),"32.525","-117.011",Mexico,0.146,"12"
POINT(-116.89701 32.53777),"32.538","-116.897",Mexico,0.065,"19"
POINT(-116.97203 32.51097),"32.511","-116.972",Mexico,0.145,"18"
POINT(-116.90206 32.49551),"32.496","-116.902",Mexico,0.049,"3"
POINT(-117.03507 32.47632),"32.476","-117.035",Mexico,0.016,"3"
POINT(-117.05427 32.48483),"32.485","-117.054",Mexico,0.135,"16"
POINT(-116.92914 32.4584),"32.458","-116.929",Mexico,0.044,"4"
